radius wavgoffset meanoffset varoffset wavg mean

J
5 -0.40080200752 -3.66448413556 5.60643412157 15.6953943128 19.2799460707
10 -0.184534598807 -3.64415056483 28.6696457682 15.3312855765 19.2596125
15 -0.151458459924 -3.93257057957 59.8086268106 15.2069202979 19.5480325147
18 -0.148637047955 -4.35195623772 96.6455755096 15.1644425186 19.9674181729
20 -0.151489863137 -4.74510137525 130.039470393 15.1514295934 20.3605633104
22 -0.128344149138 -5.08731215619 158.971270891 15.1358573587 20.7027740914
24 -0.131360483237 -5.54044160118 195.831700617 15.116467903 21.1559035363
28 -0.114749616133 -6.28236969548 256.174014417 15.0922581093 21.8978316306
30 -0.117816390716 -6.49374115914 273.316268903 15.0857478482 22.1092030943
32 -0.101359953716 -6.91647870825 306.401333996 15.0694297239 22.5319406434
34 -0.102324982366 -7.29854250982 336.498287555 15.0636170725 22.914004445
36 -0.0871139963204 -7.48252929764 350.963975203 15.0523566579 23.0979912328
38 -0.0867339855183 -7.95819093811 387.109991814 15.0405308438 23.5736528733
40 -0.0723142166686 -8.63270594303 438.2628125 15.0350710224 24.2481678782
42 -0.0703595823674 -8.91933745088 460.211902089 15.0215897685 24.5347993861
44 -0.0700503651437 -9.0610577112 471.233218471 15.0120681506 24.6765196464
46 -0.0562924452399 -9.36830780943 493.543177758 15.0024914152 24.9837697446
48 -0.05525602861 -9.69504700393 519.005939435 14.9874575663 25.3105089391
50 -0.0397557368519 -9.84426620825 530.944949719 14.980459338 25.4597281434
STOP_J

Ks
5 0.487629913528 -2.62473020492 4.97995361787 14.2482418116 18.1913859426
10 0.62220729469 -2.39698633197 10.2753194717 13.8911460121 17.9636420697
15 0.67692093427 -2.90489934426 61.0979480957 13.7916088846 18.471555082
18 0.713127017525 -3.22127430328 90.1268468122 13.7475098961 18.787930041
20 0.711806959097 -3.44353032787 110.091729716 13.7311155741 19.0101860656
22 0.744080824023 -3.8080257582 141.593677423 13.716107307 19.3746814959
24 0.74037426751 -4.22117752049 176.512955707 13.6974475294 19.7878332582
28 0.769473916362 -4.9718382377 238.737694834 13.6704277682 20.5384939754
30 0.771648031362 -5.41731456967 275.244720548 13.6591427611 20.9839703074
32 0.794087079195 -5.54852561475 286.558667569 13.6451316722 21.1151813525
34 0.798042387512 -5.95053566305 318.508141397 13.6347340344 21.5176227711
36 0.82272539548 -6.32816930328 348.947021975 13.624288307 21.894825041
38 0.820741190168 -6.50508766141 363.676763598 13.6122320408 22.0721747694
40 0.844154916998 -6.87260629227 392.907235375 13.6045315511 22.4396934003
42 0.848291541226 -7.17074576758 416.43320879 13.5907870771 22.7378328756
44 0.869638706409 -7.36108502049 431.663318078 13.5811455704 22.9277407582
46 0.873162587692 -7.70692709572 459.006104813 13.5668672197 23.2740142037
48 0.894811789595 -8.03836155738 484.344068248 13.5565021272 23.6050172951
50 0.89873830022 -8.2638759172 501.947504412 13.545158116 23.8309630252
STOP_Ks

H
5 0.241448815112 -3.27786944138 5.26470751432 14.302493846 18.8762036935
10 0.439757306437 -4.50762897832 125.716781829 13.9659796184 20.1059632304
15 0.507443857348 -6.45160312385 284.43835983 13.8621457337 22.049937376
18 0.535178296037 -7.44799729928 361.038218918 13.8364926017 23.0464975749
20 0.540190529486 -8.1206613081 412.66491079 13.8182196954 23.7191615837
22 0.544266656102 -8.82104819034 464.409941165 13.7985582942 24.4195484659
24 0.564738871713 -9.52692131569 515.72185704 13.7835269745 25.1252555678
28 0.571204773633 -10.8212083609 607.138248801 13.7549863704 26.4195793642
30 0.5836123386 -11.173768804 632.298289709 13.7578746925 26.7722690796
32 0.591713567568 -11.6742656129 666.752883809 13.7529073522 27.2724600625
34 0.595189211728 -12.0422673833 692.13429206 13.7431136052 27.6406279125
36 0.605930884059 -12.770487523 740.56208405 13.7266984934 28.3688480522
38 0.610346236174 -13.0374254455 758.663707905 13.7339727197 28.6359257211
40 0.617477192331 -13.5237269019 790.455385146 13.7258161878 29.1220979052
42 0.628602635016 -14.126967114 829.196805314 13.7113655217 29.7250321875
44 0.635031740524 -14.2689949835 838.789388547 13.701617905 29.8673659868
46 0.640282268023 -14.6853934203 865.497109843 13.7002143628 30.2835983459
48 0.651923519378 -15.0902605548 891.035478626 13.693962174 30.6887608304
50 0.658273433159 -15.2805100147 902.864051354 13.685640162 30.878881018
STOP_H






