ra dec j_m j_cmsig j_msigcom j_snr h_m h_cmsig h_msigcom h_snr k_m k_cmsig k_msigcom k_snr rd_flg dist angle j_h h_k j_k
76.193144 24.953571 16.584 0.117 0.118 9.0 15.976 0.166 0.166 5.9 15.687 0.195 5.9 BCC 222 893.634106 148.627684 0.6080 0.2890 0.8970
76.206292 24.953869 8.452 0.011 0.020 16092.7 7.642 0.045 0.047 12650.6 7.384 0.013 12382.8 AAA 111 915.774936 146.298205 0.8100 0.2580 1.0680
75.917779 24.954247 16.199 0.083 0.084 12.4 15.408 0.114 0.115 11.0 15.234 0.130 8.4 ABB 222 875.475265 209.684113 0.7910 0.1740 0.9650
75.908818 24.949907 16.201 0.107 0.108 12.4 15.462 0.137 0.137 10.4 15.32 0.155 7.7 ABB 222 903.688728 210.806494 0.7390 0.1420 0.8810
75.908818 24.949907 16.201 0.107 0.108 12.4 15.462 0.137 0.137 10.4 15.32 0.155 7.7 ABB 222 903.688728 210.806494 0.7390 0.1420 0.8810
75.988147 24.957258 15.661 0.074 0.075 20.3 14.919 0.065 0.066 17.8 14.864 0.089 11.8 AAA 222 777.129981 195.208766 0.7420 0.0550 0.7970
76.206292 24.953869 8.452 0.011 0.020 16092.7 7.642 0.045 0.047 12650.6 7.384 0.013 12382.8 AAA 111 915.774936 146.298205 0.8100 0.2580 1.0680
76.082667 24.950338 15.879 0.071 0.072 16.6 15.296 0.087 0.087 12.6 15.26 0.132 8.2 AAB 222 781.891709 172.309434 0.5830 0.0360 0.6190
76.015585 24.948355 16.376 0.107 0.108 10.5 15.727 0.137 0.137 8.5 15.518 0.157 6.4 ABC 222 790.307901 188.317493 0.6490 0.2090 0.8580
75.956324 24.951927 15.882 0.070 0.071 16.6 14.888 0.075 0.075 17.7 14.525 0.069 16.1 AAA 222 828.333859 201.80984 0.9940 0.3630 1.3570
76.015585 24.948355 16.376 0.107 0.108 10.5 15.727 0.137 0.137 8.5 15.518 0.157 6.4 ABC 222 790.307901 188.317493 0.6490 0.2090 0.8580
76.165467 24.948353 14.278 0.028 0.030 75.2 13.793 0.046 0.047 43.8 13.682 0.032 37.5 AAA 222 867.095148 154.382149 0.4850 0.1110 0.5960
75.917779 24.954247 16.199 0.083 0.084 12.4 15.408 0.114 0.115 11.0 15.234 0.130 8.4 ABB 222 875.475265 209.684113 0.7910 0.1740 0.9650
76.124613 24.951988 14.931 0.049 0.050 41.2 14.386 0.068 0.069 25.4 14.191 0.064 23.4 AAA 222 805.914039 162.559479 0.5450 0.1950 0.7400
75.988147 24.957258 15.661 0.074 0.075 20.3 14.919 0.065 0.066 17.8 14.864 0.089 11.8 AAA 222 777.129981 195.208766 0.7420 0.0550 0.7970
75.999833 24.952087 14.672 0.033 0.035 50.5 14.185 0.048 0.048 35.1 14.166 0.052 22.4 AAA 222 786.210905 192.169402 0.4870 0.0190 0.5060
75.908818 24.949907 16.201 0.107 0.108 12.4 15.462 0.137 0.137 10.4 15.32 0.155 7.7 ABB 222 903.688728 210.806494 0.7390 0.1420 0.8810
75.956324 24.951927 15.882 0.070 0.071 16.6 14.888 0.075 0.075 17.7 14.525 0.069 16.1 AAA 222 828.333859 201.80984 0.9940 0.3630 1.3570
76.137013 24.957342 15.11 0.046 0.048 35.0 14.497 0.061 0.061 22.9 14.266 0.053 21.9 AAA 222 800.860525 159.382415 0.6130 0.2310 0.8440
76.0913 24.9487 15.423 0.040 0.042 25.3 14.884 0.067 0.068 18.4 14.735 0.087 13.3 AAA 222 791.964227 170.34567 0.5390 0.1490 0.6880
75.925322 24.951895 10.268 0.019 0.022 2919.0 9.598 0.029 0.030 2315.8 9.38 0.020 1838.3 AAA 222 871.039342 208.000801 0.6700 0.2180 0.8880
75.97413 24.956682 15.406 0.057 0.059 25.7 14.901 0.056 0.057 18.1 14.633 0.067 14.6 AAA 222 792.311415 198.364033 0.5050 0.2680 0.7730
75.967134 24.954351 15.881 0.082 0.083 16.6 15.51 0.101 0.101 10.3 15.113 0.126 9.4 AAB 222 807.682759 199.71458 0.3710 0.3970 0.7680
75.905319 24.962051 15.565 0.066 0.067 22.2 14.912 0.091 0.091 17.3 14.768 0.104 12.9 AAA 222 872.546624 212.919108 0.6530 0.1440 0.7970
75.946692 24.952711 15.318 0.051 0.052 27.9 14.63 0.065 0.066 22.5 14.403 0.072 18.0 AAA 222 837.917599 203.878308 0.6880 0.2270 0.9150
75.917779 24.954247 16.199 0.083 0.084 12.4 15.408 0.114 0.115 11.0 15.234 0.130 8.4 ABB 222 875.475265 209.684113 0.7910 0.1740 0.9650
76.124613 24.951988 14.931 0.049 0.050 41.2 14.386 0.068 0.069 25.4 14.191 0.064 23.4 AAA 222 805.914039 162.559479 0.5450 0.1950 0.7400
76.015585 24.948355 16.376 0.107 0.108 10.5 15.727 0.137 0.137 8.5 15.518 0.157 6.4 ABC 222 790.307901 188.317493 0.6490 0.2090 0.8580
75.941111 24.958824 13.745 0.023 0.026 118.7 13.1 0.030 0.032 92.0 12.937 0.024 69.4 AAA 222 825.54352 205.652193 0.6450 0.1630 0.8080
76.189961 24.953573 15.731 0.066 0.067 19.7 15.227 0.106 0.107 11.7 14.809 0.087 13.3 AAA 222 888.272963 149.19997 0.5040 0.4180 0.9220
75.917779 24.954247 16.199 0.083 0.084 12.4 15.408 0.114 0.115 11.0 15.234 0.130 8.4 ABB 222 875.475265 209.684113 0.7910 0.1740 0.9650
