radius wavgoffset meanoffset varoffset wavg mean
3 0.0486427406996 -1.789694 3.11659152448 15.0919592815 17.5762108224
5 0.566341943693 -1.38028749533 3.08390900306 14.3949938778 17.1668043178
7 0.715720140484 -1.24233099065 3.04594514179 14.1301572079 17.0288478131
9 0.782996488846 -1.17172201869 3.02245279839 13.992242345 16.9582388411
12 0.80339977969 -1.1104628972 3.00264963858 13.8870318114 16.8969797196
15 0.902404503889 -1.08523102804 4.30919495374 13.8295028838 16.8717478505
18 0.962499807476 -1.05512521495 4.31325553418 13.7645735143 16.8416420374
21 1.37810758039 -1.03064231776 4.42398193099 13.7498225625 16.8171591402
24 1.45234426813 -1.03826549533 6.99371263625 13.7085141049 16.8247823178
27 1.80492564406 -1.07752007477 11.8805261357 13.6825167083 16.8640368972
