radius wavgoffset meanoffset varoffset wavg mean
3 0.451753275076 -1.29269023121 3.07057158545 14.8449032074 17.0841360886
5 0.916290586651 -0.888322543353 2.99967040778 14.2371284024 16.6797684008
7 1.04010521529 -0.758156223507 2.95005523202 14.0150898548 16.5496020809
9 1.09180820351 -0.692008150289 2.92275783843 13.895741116 16.4834540077
12 1.12594547337 -0.634329595376 2.90260553045 13.7973522261 16.4257754528
15 1.35135567752 -0.611481560694 4.21796492822 13.6864837471 16.4029274181
18 1.43995790621 -0.582116743738 4.27223966707 13.6208549561 16.3735626012
21 1.80482658697 -0.557956589595 4.66356811202 13.5503415417 16.349402447
24 1.95279731898 -0.56610655106 7.33100297929 13.5069405854 16.3575524085
27 2.14765580438 -0.546031753372 7.25245928812 13.5306320543 16.3374776108
