radius wavgoffset meanoffset varoffset wavg mean

J
5 -0.3227598072 -3.31272368531 4.69452852658 15.7781264018 19.2814322543
10 -0.149776880782 -3.23148507228 15.9295504668 15.4519304944 19.2001936413
15 -0.114301811223 -3.74335002619 63.1190570154 15.3388742839 19.7117973919
18 -0.104301569337 -4.13542181837 96.564747228 15.3022452472 20.103869184
20 -0.0956221209235 -4.5221778127 128.535911948 15.2827473122 20.4909742719
22 -0.088282009001 -4.78988886445 150.479287624 15.2694448015 20.7586853237
24 -0.0778082572765 -5.31132587471 192.483793138 15.2574641753 21.280122334
28 -0.0839002503939 -5.94238904368 242.94852624 15.2431038687 21.9108364093
30 -0.0754779962613 -6.38486595789 277.414478483 15.236082601 22.3533133236
32 -0.0800925757942 -6.80506794469 309.828406551 15.2297887258 22.7737765137
34 -0.0810061543666 -7.31423625602 349.087203723 15.2313455282 23.2829448251
36 -0.0808083963384 -7.74270986697 381.15448199 15.2277206174 23.7111572326
38 -0.0815718968376 -8.18293721978 414.277906843 15.2276608253 24.151733679
40 -0.0750318920875 -8.5403629164 441.036858603 15.2215745846 24.5091593757
42 -0.0810253424725 -8.90589127475 468.348769039 15.2228293437 24.8743386404
44 -0.0754122092274 -9.22683402116 492.550735668 15.2220897249 25.1952813868
46 -0.0831690108471 -9.52115532628 514.904940988 15.2233159068 25.4896026919
48 -0.0782055032351 -9.67939188142 526.833010878 15.2214997772 25.6481883407
50 -0.0837722743791 -9.82233750917 537.283082939 15.2225228074 25.7907848748
STOP_J

Ks
5 0.756276119881 -2.14570878807 4.05151155302 14.4596001949 18.1439904707
10 0.809177112824 -2.03117202822 12.1386608919 14.1510711208 18.0294537108
15 0.597868719232 -2.35522705189 44.9475709757 13.9633037475 18.3535087345
18 0.523593877306 -2.8062326516 84.3641628281 13.8819259715 18.8045143342
20 0.44777935195 -3.0737817987 107.033643435 13.8287077042 19.0720634813
22 0.386377308464 -3.44760429579 138.106296099 13.7759854783 19.4458859784
24 0.318866789996 -3.89366891132 175.182761002 13.7215325755 19.8919505939
28 0.181062172684 -4.81706564258 250.087659565 13.611264055 20.8153473252
30 0.554520261532 -5.19797284987 280.689406273 13.7893680118 21.1962545325
32 0.519023115789 -5.63663676878 315.727304871 13.7573902828 21.6349184514
34 0.472190381219 -6.13313049924 354.781509646 13.722468381 22.1314121818
36 0.424308000424 -6.60302413146 390.728492091 13.6917854162 22.6013058141
38 0.38743219977 -6.94692286327 417.138068371 13.6555940676 22.9452045459
40 0.336627378899 -7.23427560061 439.018410479 13.6214392208 23.2325572832
42 0.290027017688 -7.53231361972 462.313590484 13.5878033476 23.5305953023
44 0.235469863248 -7.78356491024 481.628358211 13.552032331 23.7818465928
46 0.188438101895 -8.16225483612 509.859615804 13.51740818 24.1605365187
48 0.11791284463 -8.41378197732 529.414736119 13.4879493354 24.4120636599
50 0.0643104859493 -8.57620864517 542.320582005 13.4515214966 24.5744903278
STOP_Ks

H
5 0.448652485038 -2.81507604304 4.57681071356 14.5647092858 18.8079170417
10 0.607122592876 -3.45085356439 73.1693531086 14.2619998084 19.4436945631
15 0.652017932586 -5.11394172142 210.679384522 14.1559465326 21.1067827201
18 0.661676728778 -6.05624765856 285.363918062 14.136748812 22.0488234883
20 0.675741518023 -6.79342565725 342.056441039 14.1153966697 22.786001487
22 0.679814672671 -7.45882143268 392.41028354 14.1061747704 23.4515562556
24 0.679592778856 -8.13194075413 442.047916707 14.0981125287 24.1245144007
28 0.692512411664 -9.30707487681 526.350397724 14.0831051014 25.299810997
30 0.6926109573 -9.96857925908 573.329436943 14.0812034645 25.9612595614
32 0.700125527812 -10.6187326899 618.307718495 14.0783973031 26.61155577
34 0.699628078572 -11.2526529407 661.454945821 14.0712465143 27.2452082224
36 0.699448140012 -11.5586467844 682.363917219 14.074603468 27.5513811581
38 0.705924923503 -11.9529949733 709.037457496 14.0657011756 27.9457421602
40 0.70635103178 -12.3634584737 736.023152953 14.0672905261 28.3560119938
42 0.70527610739 -12.8405086407 766.819108931 14.0693425167 28.8331180041
44 0.71205546595 -13.1996496386 789.984220521 14.0627150866 29.1923459586
46 0.712106415234 -13.5492413045 812.395125727 14.0633733772 29.5418712232
48 0.71068559014 -13.8515573341 831.713862584 14.0596476549 29.8443983328
50 0.718353387619 -14.2466715917 856.846856921 14.0624026104 30.239420524
STOP_H

